id_alumne,PIP,PED,PDAA,AT,SOC,LCAT,LESP,DIDA,LENG,INCL,SEOE,DIDC,DIDM,CINA,PLST,EDFI,PRAC,DGEO
2750,8.6,9.0,9.0,9.0,7.6,6.0,8.0,8.3,6.4,8.7,9.0,8.0,7.6,7.2,9.0,7.6,7.6,7.9
2751,9.0,7.5,8.0,8.2,8.0,6.0,6.5,9.8,4.9,7.5,7.5,7.9,7.4,8.9,7.2,8.3,9.3,8.1
2753,9.0,8.0,9.0,8.3,9.0,4.0,7.7,7.0,8.7,9.5,8.0,9.5,7.8,7.0,9.0,8.3,8.3,9.0
2755,5.5,8.0,6.8,3.0,6.5,5.7,4.0,7.0,0.0,5.9,8.0,6.5,5.0,4.4,7.0,6.7,8.2,6.0
2757,7.0,0.0,0.0,0.0,0.0,0.0,8.0,8.3,6.3,,,,,,,,,
2759,6.5,5.5,8.2,7.2,6.0,6.0,6.2,8.1,4.9,5.7,8.0,5.5,5.1,5.4,7.0,6.3,7.9,6.3
2760,0.0,0.0,0.0,0.0,0.0,0.0,8.2,6.6,0.0,,,,,0.0,,,,
2761,6.6,8.2,7.8,8.0,8.0,6.5,7.8,8.0,6.2,8.5,8.5,7.5,6.8,7.2,8.0,5.4,9.7,8.1
2765,7.8,7.0,8.5,7.7,5.0,5.5,4.0,6.5,4.0,7.2,7.7,7.0,7.3,7.5,8.5,7.6,9.0,5.8
2766,8.8,7.7,9.0,7.5,7.0,7.0,4.0,7.4,5.5,8.0,6.6,9.0,7.5,6.0,8.3,8.0,9.0,7.6
2768,7.7,8.6,7.8,7.7,7.3,6.5,6.8,7.2,7.5,8.1,8.5,8.9,9.0,7.9,9.0,6.7,9.0,7.9
2769,0.0,6.8,0.0,7.0,6.5,3.7,0.0,0.0,0.0,,,,,,8.0,8.6,,
2771,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,
2775,6.6,8.0,9.5,9.0,7.3,6.2,7.8,9.8,6.3,8.5,7.8,8.0,8.1,7.2,8.0,10.0,8.2,8.1
2778,5.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,6.7,5.2,7.4,0.0,0.0,3.6,5.0,0.0,8.7,0.0
2780,7.1,8.0,8.0,8.1,8.5,4.0,4.0,9.1,4.9,6.5,7.0,8.0,6.8,6.2,8.5,7.3,9.5,8.8
2782,9.0,8.7,7.7,7.9,9.5,6.5,6.4,7.4,6.9,8.0,9.0,8.5,7.7,6.8,8.0,7.5,9.5,8.4
2787,7.4,8.5,8.7,8.1,8.0,8.0,6.4,9.2,8.4,8.0,9.3,7.5,6.6,8.4,9.0,9.7,9.0,9.2
2788,7.4,7.0,8.5,8.6,7.0,8.0,6.8,8.8,8.7,8.0,8.3,5.5,6.6,6.4,8.0,8.6,8.5,8.0
2789,7.5,7.7,7.0,7.3,8.5,6.5,4.0,6.9,6.0,6.7,7.5,5.6,6.4,7.4,6.3,7.3,9.5,7.0
2792,8.0,8.0,8.5,8.0,7.9,5.0,6.7,7.8,5.8,7.0,7.5,9.0,7.0,6.2,6.6,5.7,8.4,6.8
2793,9.0,10.0,9.0,8.5,9.0,7.0,8.1,9.5,8.5,8.0,9.0,9.0,6.7,7.3,7.5,8.5,6.0,7.3
2796,7.5,7.5,8.7,7.9,9.0,8.0,7.3,8.3,7.8,8.5,7.5,9.0,6.4,6.3,8.0,6.6,6.8,7.9
2797,7.7,8.0,7.7,7.1,7.8,0.0,7.6,7.0,4.5,7.6,7.5,7.5,6.6,5.0,8.0,6.5,7.0,6.2
2814,3.0,6.1,5.5,6.6,5.5,4.0,5.7,6.3,0.0,6.2,8.3,7.5,6.3,4.2,7.6,8.4,8.9,8.2
2821,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,
2826,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,,,,,,,,
2829,9.0,7.0,7.5,7.8,7.2,5.2,8.3,7.9,9.2,8.0,7.5,9.1,6.6,6.7,7.5,6.0,9.2,5.7
2830,6.5,6.2,6.2,7.0,5.0,5.0,6.6,7.4,6.7,6.0,7.0,7.0,6.2,7.3,7.2,7.6,7.8,7.9
2838,6.3,7.0,6.5,7.2,7.1,4.0,4.0,5.6,7.4,8.0,7.1,6.0,7.1,7.0,7.5,7.6,8.0,8.1
2840,5.9,7.6,5.5,7.8,7.6,6.0,6.1,7.8,0.0,3.5,7.2,0.0,0.0,6.7,8.1,7.2,9.4,
2849,5.3,8.0,7.4,7.6,7.7,0.0,0.0,0.0,0.0,8.4,6.5,6.3,6.6,7.1,8.0,7.2,0.0,6.1
2850,4.0,5.0,7.5,7.3,8.3,6.5,6.7,6.0,5.7,7.1,6.7,8.9,7.0,7.4,9.0,6.2,9.0,8.0
2855,7.3,7.0,7.0,7.9,0.0,6.0,6.5,7.5,8.0,8.0,8.0,7.0,5.5,5.0,6.7,5.9,8.0,6.7
2871,7.0,7.0,7.9,7.4,7.0,4.0,3.0,7.0,5.7,7.0,7.5,8.0,4.5,5.7,6.2,6.1,8.5,5.4
2881,6.9,8.3,8.0,8.5,7.3,5.6,7.6,8.4,9.0,,,,,,,,,
2883,5.4,8.2,7.4,7.1,6.0,4.0,6.3,7.4,0.0,6.7,7.5,5.0,6.7,5.6,7.2,7.7,0.0,8.5
2886,7.5,9.0,8.1,7.8,7.0,7.0,7.9,7.5,8.0,8.4,8.5,9.1,7.4,8.0,8.5,6.6,8.5,8.7
2888,8.0,7.8,10.0,7.2,7.0,6.0,7.5,8.0,7.9,8.5,8.0,10.0,8.5,7.1,8.0,9.0,8.8,9.4
2892,7.0,7.5,6.2,7.2,7.3,5.0,4.0,5.9,6.5,6.0,7.5,7.0,5.8,6.9,7.0,7.7,8.0,8.5
2893,0.0,7.3,8.0,6.5,7.5,3.4,6.0,6.0,6.0,7.2,7.0,5.0,0.0,6.0,8.0,,9.0,0.0
2898,7.5,6.0,6.0,6.6,8.0,4.0,6.3,6.2,0.0,6.0,8.0,7.5,6.6,6.6,7.0,7.0,9.0,6.4
2900,7.7,6.6,4.0,6.4,7.0,5.0,6.0,6.7,6.8,6.0,8.0,8.0,5.2,7.2,7.5,7.5,9.1,5.8
2906,4.0,7.6,0.0,7.3,9.5,2.0,0.0,9.1,5.6,0.0,6.0,7.5,6.7,5.4,8.0,7.0,0.0,0.0
2907,6.0,5.5,8.0,5.9,5.5,3.0,6.5,7.0,0.0,6.2,8.0,7.2,5.4,6.8,7.7,7.0,9.0,8.0
2916,7.6,8.2,7.5,8.0,7.6,0.5,8.6,7.0,6.4,7.0,8.0,8.5,7.6,7.3,7.5,8.1,8.8,7.2
2922,5.0,8.0,6.0,6.5,7.2,4.0,4.0,5.0,0.0,0.0,8.0,6.6,3.0,5.3,7.2,6.3,8.4,7.9
2924,6.6,8.0,7.0,8.0,7.3,3.5,6.7,5.5,6.1,7.0,7.0,7.5,5.9,6.1,7.5,7.9,8.0,6.0
2942,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,
2944,6.1,6.4,5.0,6.1,7.1,4.0,6.3,0.0,0.0,,,,,,,,,
2946,6.0,7.3,7.2,7.3,9.0,5.0,5.5,8.7,5.5,6.7,6.5,6.0,4.2,5.7,8.0,6.6,7.0,8.3
2955,0.0,7.2,,6.4,,4.0,,6.3,,,,,,,,,,
2961,5.9,5.8,4.0,6.1,6.0,3.5,6.1,5.8,0.0,6.0,7.6,7.0,6.1,6.0,6.8,7.0,8.7,8.3
2965,3.0,7.0,4.0,7.1,6.5,5.0,0.0,5.1,0.0,0.0,7.2,6.0,5.7,6.6,6.8,7.2,7.7,9.0
2971,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2976,9.0,8.1,7.0,8.3,7.0,6.0,8.0,7.5,7.9,9.0,9.0,9.1,7.3,8.0,8.0,6.3,9.7,8.8
2977,6.4,7.1,6.5,6.4,8.0,4.0,7.0,6.0,6.6,6.5,7.5,8.0,7.1,5.6,8.0,6.6,9.4,8.1
2978,0.0,8.0,6.5,5.9,6.0,4.0,7.0,6.1,2.7,,,,,,,,,
2981,9.5,8.4,8.4,9.0,9.0,9.0,8.5,10.0,7.1,9.2,8.4,9.0,8.0,8.9,9.0,9.0,9.8,8.4
2983,0.0,0.0,,,,,2.5,0.0,0.0,,,,,,,,,
2985,6.2,6.1,8.0,7.4,7.0,3.0,4.0,6.8,7.4,6.7,8.3,6.5,5.0,6.5,7.2,8.0,7.6,9.4
2987,6.0,7.0,7.7,7.4,7.8,7.0,4.0,6.2,7.3,6.0,7.5,7.0,6.7,5.8,8.0,7.6,9.4,8.9
2991,6.5,7.1,7.0,6.3,7.4,7.2,7.0,8.1,7.0,8.0,7.3,9.0,7.0,7.8,7.0,7.8,8.7,7.2
2992,7.4,7.1,7.1,7.3,8.0,8.0,7.0,9.0,7.8,8.4,7.1,8.1,7.8,9.4,9.5,7.7,8.0,7.7
3005,6.1,7.5,8.0,1.5,7.0,4.0,4.0,0.0,0.0,7.5,6.5,6.2,5.6,6.2,8.6,7.8,8.6,7.5
3010,0.0,0.0,0.0,0.0,5.0,3.5,4.0,0.0,0.0,,,,,,,,,
3016,7.0,7.7,7.0,6.4,6.0,5.0,4.0,6.8,6.5,6.0,8.4,6.6,7.7,6.7,7.8,7.5,9.5,5.9
3019,7.0,6.0,5.5,7.4,7.8,5.0,4.0,5.8,6.8,6.0,7.7,6.5,7.1,7.4,8.4,7.6,8.8,8.1
3031,7.0,7.4,6.5,7.4,6.5,5.0,7.3,7.5,7.1,6.5,8.4,7.2,6.2,8.3,8.2,8.1,8.4,9.0
3034,6.4,8.1,7.0,6.7,7.0,3.0,7.3,8.0,7.7,8.5,7.5,8.0,8.2,6.6,7.5,6.7,8.4,7.5
3044,6.2,9.0,8.5,7.0,8.5,4.8,7.0,7.4,0.0,1.9,7.2,,0.0,,8.4,7.1,9.2,6.1
3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3058,6.1,7.9,8.3,6.2,9.2,6.0,7.0,7.5,6.8,7.4,8.0,8.7,6.0,7.3,6.3,7.0,9.0,6.4
3061,7.1,7.5,8.5,7.5,8.0,6.5,6.5,9.1,8.7,8.3,9.0,9.5,7.3,6.7,8.0,7.7,8.4,8.0
3067,7.0,7.5,6.5,8.0,7.4,3.6,5.9,6.0,4.0,,,,,,,,,
3069,6.0,6.2,8.5,6.8,7.0,5.0,6.3,4.5,4.5,7.5,6.5,6.0,5.4,6.0,6.6,7.5,8.3,6.4
3072,4.0,7.9,7.7,6.1,7.5,3.5,3.0,4.5,0.0,6.5,7.2,7.4,6.6,6.0,7.0,7.1,8.6,7.5
3076,3.0,7.4,6.7,5.5,8.0,3.0,5.9,6.8,0.0,6.0,8.5,6.8,5.8,6.5,8.2,6.8,8.1,7.4
3078,6.3,7.1,8.1,5.8,7.5,4.0,0.0,7.4,0.0,5.0,5.0,0.0,5.0,5.0,6.0,7.3,7.8,3.8
3079,6.9,8.2,7.8,7.7,9.2,5.0,4.0,6.5,5.9,6.0,5.5,7.0,6.5,5.5,3.0,8.2,9.0,5.0
3080,7.0,8.2,8.2,7.6,9.0,4.0,6.8,8.3,6.9,8.3,6.5,7.4,7.3,8.4,6.7,7.9,8.3,6.2
3082,7.4,8.4,6.5,7.4,9.0,4.0,6.0,7.3,6.5,0.0,7.3,0.0,0.0,7.8,7.0,7.2,8.2,7.3
3088,7.5,7.5,0.0,6.4,8.5,7.0,4.9,8.1,7.4,6.6,7.5,7.0,9.0,7.5,8.0,6.8,9.1,7.6
3089,6.3,7.7,8.1,6.7,8.0,6.0,2.2,7.8,5.0,7.5,7.5,7.0,7.2,7.8,8.0,7.5,9.0,6.8
3091,6.1,6.9,8.5,6.8,8.5,3.8,2.6,5.0,3.9,6.0,8.0,7.0,8.1,6.6,6.6,6.7,8.7,7.0
3093,6.4,5.7,6.3,7.9,5.0,6.0,6.0,3.9,6.0,6.4,5.0,5.8,4.2,5.3,5.8,5.0,6.0,5.2
3095,4.0,,,0.0,6.5,,1.7,,0.0,,,,,,,,,
3097,,,,,,,,0.0,,,,,,,,,,
3107,4.0,6.0,8.1,6.2,7.0,3.5,4.0,3.5,0.0,6.1,6.5,3.8,5.0,6.3,7.0,7.0,8.0,5.2
3111,0.0,7.8,7.6,0.0,0.0,8.0,0.0,9.1,8.1,7.0,7.0,9.0,7.0,5.2,6.5,7.3,9.7,9.1
3114,2.7,6.0,5.0,6.5,5.0,5.5,3.0,6.0,0.0,5.9,8.4,6.8,5.7,6.2,9.0,8.7,6.6,5.7
3117,6.3,7.7,8.5,6.3,8.0,0.0,0.0,7.2,5.4,7.0,6.6,5.0,4.8,5.9,2.4,7.4,8.5,5.9
3118,7.0,7.7,8.5,7.1,8.5,5.0,6.0,6.0,6.0,5.1,8.5,9.0,7.1,8.3,7.0,6.8,9.8,5.5
3122,7.9,7.8,8.3,6.8,9.0,6.0,5.4,9.4,6.8,0.0,6.0,0.0,7.3,0.0,7.0,8.2,8.0,0.0
3125,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,,,,,,,,,
3131,7.0,7.9,0.0,6.2,8.5,7.0,5.3,6.2,5.9,6.0,7.5,7.0,8.3,6.6,6.0,7.0,9.3,7.0
3132,7.1,6.0,7.0,7.7,8.0,6.0,6.0,9.0,6.2,9.0,8.7,7.7,6.4,5.2,8.0,7.2,9.5,6.6
3133,6.0,7.1,8.2,6.2,6.5,4.0,5.8,7.0,6.7,6.6,7.5,7.3,6.8,7.0,8.0,7.7,9.2,6.8
3134,5.4,6.3,6.6,3.1,9.2,3.0,6.2,7.8,0.0,,7.0,,,,5.6,,,
3138,7.4,8.2,8.2,6.9,8.5,5.5,7.0,7.2,9.0,9.0,8.5,8.0,7.5,7.5,8.0,8.4,9.0,7.3
3144,4.0,6.8,7.8,6.3,7.0,0.0,1.9,5.0,0.0,6.1,8.5,6.0,0.0,6.5,6.5,8.2,8.0,5.0
3153,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
3155,6.5,7.9,9.0,8.1,9.8,4.5,6.5,9.0,7.7,7.5,7.1,8.0,7.1,8.7,8.0,9.2,9.1,8.0
3156,6.2,9.0,7.0,6.4,8.7,4.0,4.3,7.2,0.0,8.3,7.0,6.3,7.1,6.2,5.7,8.0,8.0,6.8
3162,7.1,8.5,7.0,8.7,7.8,4.0,4.0,9.5,4.0,7.7,8.0,8.5,7.1,5.0,7.4,8.4,9.4,7.3
3163,,,7.0,7.5,5.0,2.5,,8.1,,,,,,,,,,
3168,6.3,6.6,8.5,9.0,7.0,6.0,4.0,6.0,7.0,8.0,7.4,7.5,5.8,6.8,8.0,9.0,8.5,7.4
3169,4.0,7.0,8.2,6.1,6.0,4.0,2.5,7.5,5.6,6.5,6.0,7.0,5.5,7.0,8.0,7.5,8.0,7.3
3172,7.0,7.9,9.0,8.0,8.0,5.0,6.6,10.0,6.0,6.9,7.3,7.5,6.1,5.3,8.0,7.5,8.6,9.5
3173,0.0,0.0,0.0,,,3.0,,,0.0,,,,,,,,,
3175,9.0,8.0,9.5,8.0,8.0,6.0,2.9,8.8,6.8,9.0,9.0,9.7,7.8,8.2,10.0,8.2,9.8,9.7
3178,7.0,7.5,6.0,7.0,6.0,4.0,2.3,8.1,4.3,6.0,7.0,5.6,7.5,6.1,7.5,8.2,9.0,5.8
3191,4.0,7.5,8.2,6.8,7.0,3.5,4.0,7.5,0.0,,,,,,,,,
3192,5.9,7.8,7.4,7.9,8.7,4.0,4.0,5.7,6.5,6.7,7.5,9.5,7.1,6.3,6.6,8.2,9.6,8.2
3195,7.1,8.0,6.6,8.1,6.6,6.9,6.6,9.0,6.7,6.2,7.5,7.1,7.8,7.7,8.0,7.7,9.1,7.6
3199,6.7,7.7,6.0,7.0,6.0,5.8,3.5,6.2,5.5,6.6,6.0,5.5,4.0,5.0,8.0,7.2,8.8,5.5
3205,4.0,8.3,8.3,6.4,8.0,3.5,2.6,5.1,5.7,6.3,8.0,7.0,5.9,6.6,8.0,7.7,9.0,5.5
3207,5.9,9.0,8.2,6.4,8.5,4.0,2.6,8.0,5.6,9.0,8.5,9.0,6.9,6.9,8.0,8.2,8.0,7.5
3208,3.0,0.0,0.0,5.8,6.5,4.5,2.5,6.1,0.0,5.3,4.6,6.7,0.0,6.7,6.0,5.5,7.2,5.5
3212,8.0,7.5,8.7,7.0,7.5,5.5,6.1,6.0,4.2,7.2,8.5,7.5,7.2,5.6,8.1,6.8,8.8,6.0
3213,5.8,7.0,7.8,6.9,5.5,3.5,4.0,7.5,5.0,6.4,7.5,7.4,3.6,6.1,5.0,6.7,7.9,7.0
3216,6.0,8.2,8.1,5.9,7.6,5.0,4.0,6.1,6.1,7.5,6.3,7.5,5.6,6.5,6.7,7.6,10.0,6.4
3217,6.7,5.5,4.0,6.5,5.5,2.8,6.3,6.7,6.2,6.0,9.0,6.1,6.3,7.2,7.0,7.0,8.6,8.7
3218,0.0,7.5,0.0,0.0,7.0,5.0,5.8,0.0,0.0,,,,,,,,,
3219,6.4,7.2,8.1,6.4,9.0,5.0,4.9,8.6,5.2,7.9,8.0,8.0,7.0,5.0,8.5,8.0,9.6,6.9
3225,4.0,5.9,8.1,6.0,6.0,5.0,3.7,0.0,0.0,5.3,6.0,6.7,0.0,6.0,5.1,6.6,8.0,0.0
3226,7.7,7.7,8.4,6.7,8.0,7.0,6.0,9.7,7.4,7.9,7.0,8.0,7.3,7.4,8.8,8.3,9.0,7.4
3229,5.8,8.4,7.2,7.6,9.3,4.5,6.2,8.3,6.7,6.9,7.7,6.5,7.4,6.6,6.9,8.3,8.5,5.5
