id_alumne,TTC,CP,FDD,DRO,PIC,EC,SDL,FDPTD,HD,DCP,OTE,PD,DOC,DIC,DFT,FDA,DPC,IDCE,DR,PST,CAA,DEM,DTS,DPP,DS,BPU
6154,7.3,,7.5,5.5,7.5,,7.5,6.3,6.8,5.7,6.3,9.4,5.7,,7.4,7.2,,8.7,7.4,,7.0,,,,,7.6
6155,5.1,8.0,10.0,3.5,5.0,5.0,7.0,2.1,3.1,4.1,6.2,,,6.1,6.0,,,6.5,,,,,,,,
6156,5.2,5.9,6.0,2.0,1.0,6.0,5.0,2.3,3.0,0.7,0.2,5.0,5.5,1.5,,,2.5,2.0,,,,,,,,
6158,5.2,5.5,6.0,2.4,2.0,5.0,5.0,7.4,5.0,3.9,4.0,5.5,1.0,3.2,3.0,3.0,,5.0,,,,,,,,
6159,6.9,5.9,5.1,4.0,2.0,7.2,5.3,6.6,4.0,6.5,3.2,6.0,3.0,9.0,6.0,5.2,5.2,7.0,,5.5,3.0,7.4,5.7,5.5,6.5,
6160,8.0,6.8,7.0,6.5,7.5,,,,,0.5,,,,,,,,,,,,,,,,
6163,7.0,5.5,5.7,6.0,5.7,5.0,5.0,4.5,7.0,6.3,5.7,4.0,5.0,8.0,5.8,6.0,4.0,8.2,5.5,7.0,6.0,,5.8,5.0,7.6,5.0
6164,7.3,7.0,5.0,7.0,5.0,7.0,6.0,6.0,7.5,6.5,7.3,5.0,6.0,8.4,8.7,7.2,7.0,9.0,5.7,5.6,6.8,6.5,7.0,7.0,8.8,8.1
6166,7.8,7.0,5.0,7.0,1.7,5.0,5.2,6.2,5.0,5.0,5.7,5.0,0.0,5.6,3.2,6.5,5.2,6.0,5.0,,6.8,3.7,0.0,,5.1,3.7
6167,5.6,1.6,5.0,5.0,5.0,6.5,6.0,4.2,4.4,0.7,3.5,5.5,5.0,5.0,5.0,8.0,4.0,7.1,,,5.0,5.4,6.5,8.1,7.0,7.5
6169,,,,,,,,,,,,6.4,,,7.5,6.9,7.5,6.0,5.2,,5.0,8.5,,,,
6170,6.4,3.0,5.6,5.0,5.2,5.0,6.2,5.7,3.5,5.3,0.0,3.3,2.0,,5.2,7.0,5.5,6.0,,,,,,,,
6171,6.0,,5.5,7.0,6.7,,5.5,8.8,6.5,7.1,7.3,9.0,7.1,4.7,,6.0,6.5,0.0,6.4,,9.5,,,,,
6173,6.6,9.0,7.5,7.0,7.8,,6.0,6.7,9.0,6.2,8.3,8.2,7.0,6.0,6.5,7.0,5.8,8.0,5.4,,6.2,,,,6.5,6.0
6175,5.5,5.0,6.0,5.0,2.7,5.0,6.2,6.1,7.0,5.8,1.1,6.4,6.1,6.5,6.7,8.0,7.2,7.2,6.0,5.1,9.0,6.0,6.9,7.0,7.6,5.7
6176,7.4,6.5,8.1,8.0,5.5,6.3,6.0,6.1,5.0,6.0,6.0,6.8,5.1,6.2,6.4,5.0,5.0,4.0,6.9,5.3,9.0,8.0,2.0,7.7,7.3,8.0
6177,6.9,6.5,5.0,5.5,5.0,5.0,7.0,5.4,5.0,5.0,1.0,7.6,3.6,7.0,5.0,5.0,5.5,5.0,5.5,5.9,6.5,8.0,3.0,5.7,6.1,8.2
6184,6.5,3.2,1.9,1.8,1.5,,,,,,,,,,,,,,,,,,,,,
6185,6.2,5.0,5.4,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
6186,8.0,6.3,5.3,5.0,3.6,5.7,7.5,7.4,7.0,6.0,5.0,6.3,3.0,7.0,5.7,5.0,0.0,8.0,,,7.1,7.0,5.0,8.7,6.6,5.0
6187,4.9,,6.0,5.0,6.0,,5.5,5.0,8.0,5.4,5.3,2.0,0.6,,5.0,1.5,,6.0,2.4,,4.5,,,,,
6189,6.5,5.0,6.3,6.5,5.0,5.0,,4.0,,3.0,3.7,,,,,,,,,,,,,,,
6195,6.2,7.4,5.0,4.2,2.0,6.4,3.5,7.6,5.0,7.0,0.7,7.1,3.0,5.1,5.0,7.4,5.0,6.0,,,3.1,,,,,
6196,7.1,7.8,5.0,6.5,5.5,5.0,6.0,8.1,8.5,7.3,7.0,7.3,9.1,7.2,8.2,8.0,8.0,7.2,,,,,,,,
6197,6.2,5.2,5.0,6.0,5.5,6.0,6.0,9.7,7.5,6.2,5.6,8.0,7.3,7.5,9.0,7.5,7.0,9.0,6.6,6.0,6.0,7.2,6.0,8.0,5.3,8.5
6199,8.0,5.8,3.2,5.0,3.5,6.7,5.1,6.4,5.0,6.0,3.0,4.0,3.0,6.5,6.0,6.3,6.3,6.5,,,6.2,,5.4,,,
6209,7.3,,7.0,8.1,8.1,,9.5,7.5,,7.0,6.5,5.0,8.5,,8.5,9.0,,8.5,6.6,,8.1,,,,,8.1
6212,6.0,5.1,4.3,2.6,4.5,4.2,5.0,6.6,5.0,5.5,5.0,5.0,2.0,6.0,5.0,4.0,7.0,7.0,2.7,5.0,6.3,,4.2,,5.0,5.0
6215,7.0,7.5,8.0,5.0,7.7,5.0,7.0,7.0,6.0,6.0,7.0,9.6,6.7,,9.3,6.0,,9.0,5.7,,7.5,,,,7.0,7.0
6217,2.9,,3.7,,2.9,,,,,,,,,,,,,,,,,,,,,
6230,,,5.0,5.7,7.0,,6.5,9.0,7.0,5.0,5.0,9.7,5.5,,10.0,8.0,,8.5,7.7,,8.5,,,,,7.9
6231,5.0,5.0,8.0,5.2,5.0,10.0,8.0,3.6,7.0,5.9,5.4,2.2,4.0,2.5,7.0,6.7,7.0,8.5,5.3,7.0,6.2,8.3,,8.0,8.1,
6245,4.0,6.2,7.7,6.5,7.0,4.5,5.5,5.5,6.0,6.3,7.0,6.0,6.0,,5.0,6.5,5.0,,,,,,,,,
6253,8.5,9.0,7.0,6.5,5.0,6.6,5.0,8.1,6.0,6.4,7.0,7.2,7.0,8.7,8.8,7.3,8.8,8.0,,,,,,,,
6257,6.1,7.0,7.0,7.0,6.0,5.6,7.0,5.0,5.2,9.2,6.3,7.3,5.0,5.5,6.0,8.0,3.3,8.0,6.2,6.1,6.5,9.0,,,,5.1
6262,,,,1.0,,,,,,,,,,2.3,5.1,6.0,7.0,6.5,0.5,,,,,,,
6265,5.4,6.6,7.0,5.8,3.6,5.3,6.0,6.4,4.0,6.1,6.7,5.8,4.0,6.2,5.8,8.0,7.0,7.5,,,5.5,5.0,,7.0,,
6272,5.5,9.0,7.0,5.5,8.0,6.3,5.0,5.7,5.0,2.0,8.0,,5.5,,7.0,8.3,,9.5,,,,,,,,
6274,5.6,7.5,6.4,5.9,5.0,7.0,5.0,6.1,5.0,5.4,6.5,5.0,5.0,6.0,6.5,0.9,,5.6,,,,,,,,
6279,5.4,6.0,6.0,5.4,7.5,5.1,6.5,6.7,6.7,6.1,6.5,8.6,7.2,7.0,6.5,8.0,6.5,8.0,,,6.0,6.0,,6.5,,
6280,5.5,8.3,5.0,5.0,5.0,5.0,4.8,6.3,5.0,5.7,6.5,6.4,6.0,6.3,6.0,0.0,,6.0,,,,,,,8.3,
6281,6.0,9.0,6.0,5.6,6.3,5.7,5.0,3.8,5.3,7.7,7.0,7.0,5.7,8.0,9.0,9.0,5.8,8.5,,,,,,,,
6282,4.1,3.8,6.0,5.0,5.0,5.5,7.5,3.7,3.0,5.9,5.0,6.0,5.0,6.2,7.0,5.0,7.5,,,,,,,,,
6283,5.1,6.0,3.0,2.4,2.2,5.0,0.5,5.0,1.0,2.3,,,,,5.0,,2.7,,,,,,,,,
6284,5.2,5.0,1.4,4.0,1.0,5.0,0.0,5.0,1.5,3.0,,,3.0,,,,,,,,,,,,,
6285,7.3,7.0,8.1,7.4,9.0,8.1,6.0,6.0,7.3,6.7,9.0,9.2,7.8,8.6,8.3,5.2,6.5,7.5,,,,8.7,,,7.7,
6288,6.0,7.7,2.8,1.0,5.5,3.0,2.6,2.6,1.5,3.0,4.0,,,,,,,,,,,,,,,
6290,,5.8,5.0,3.0,4.2,7.4,3.5,1.9,,5.0,,,,,,,,,,,,,,,,
