id_alumne,ADIP,ELPR,IACD,LIRM,MAVE,ALLI,ARIT,FISI,IACI,PRCI,CDDV,ESAL,GELI,GRAF,MNU1,CIDV,GEPR,HIMA,MMSD,TOPO,ANMA,EQAL,GDCS,MNU2,PROB,ANCO,EQDI,ESTA,MODE,TGGS
229,5.1,4.5,4.7,5.0,3.3,2.4,2.3,7.5,6.2,3.2,4.3,3.8,5.2,6.0,5.2,1.9,2.5,6.5,5.2,3.7,4.3,5.4,5.1,3.8,7.0,5.0,5.0,,,
230,6.4,7.6,9.0,8.5,5.7,3.0,7.3,7.5,9.2,7.0,9.0,7.7,4.5,8.3,6.3,4.2,,6.1,,0.5,,,,,,,,,,
232,8.2,6.4,7.3,8.3,6.1,6.5,7.5,7.5,7.3,6.4,8.0,7.4,8.0,8.8,6.2,8.0,9.0,8.5,7.5,7.3,7.0,7.0,7.2,8.5,7.1,7.3,5.5,7.3,8.1,6.4
236,6.3,6.1,7.0,7.0,0.5,5.1,4.4,7.5,7.8,5.7,5.5,4.7,3.2,4.9,,1.0,,7.0,3.1,,,,,,,,,,,
237,5.9,7.6,2.5,6.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
241,6.4,6.2,,7.0,,7.6,,,6.5,6.7,5.4,2.9,7.3,8.5,3.6,5.1,5.5,9.4,7.6,2.6,6.0,6.2,5.8,,5.9,6.3,,7.9,4.4,6.4
242,5.9,6.4,7.4,5.1,5.2,4.5,6.3,5.3,5.7,5.0,7.0,5.9,4.4,7.5,5.0,6.0,7.0,6.8,6.0,5.3,5.5,4.4,5.0,5.0,6.0,6.2,5.9,5.1,6.5,5.2
243,7.0,3.9,4.1,0.3,6.9,3.0,5.5,3.5,6.5,3.7,5.0,5.0,3.9,6.3,5.5,6.9,7.0,6.8,6.1,2.3,7.6,5.2,8.0,5.0,4.6,7.8,3.5,6.9,,
248,3.9,3.9,4.1,7.7,1.3,1.1,,5.0,4.4,,,,,,,,,,,,,,,,,,,,,
251,5.7,5.2,4.7,5.5,3.2,1.3,4.7,5.0,5.5,5.9,5.0,3.5,4.4,7.3,3.2,2.9,4.0,5.0,5.0,2.5,1.3,,0.7,,4.4,5.1,,,,
254,2.0,,4.7,6.7,,,,,6.4,,,,,,,,,,,,,,,,,,,,,
255,5.4,5.3,5.1,5.1,2.7,0.3,1.9,3.8,7.0,4.3,3.9,4.5,2.4,7.4,2.2,4.2,5.0,8.1,7.0,5.0,4.1,2.3,5.6,5.3,5.0,4.0,1.7,5.7,5.1,5.4
256,,5.7,5.0,5.7,5.7,5.7,5.6,5.7,5.3,,,,,,,,,0.4,1.6,,,,,,,,,,,
259,7.0,5.0,6.8,5.7,5.0,4.6,6.8,6.0,6.8,5.1,5.9,4.1,2.7,7.7,3.1,5.8,4.0,6.7,5.5,2.6,1.2,5.0,6.9,5.8,5.6,6.3,3.0,6.0,5.9,5.1
260,4.2,,6.0,7.7,,,,,7.5,,,,,,,,,,,,,,,,,,,,,
263,6.4,4.4,3.8,4.6,2.7,7.0,7.1,6.0,7.0,8.0,5.0,6.2,5.0,6.8,3.1,4.2,4.0,9.0,2.9,4.0,3.3,5.2,5.0,7.5,4.0,,,5.0,0.2,6.4
267,9.0,5.6,8.0,9.2,5.6,5.6,6.4,7.5,9.1,5.6,7.7,5.0,5.0,5.6,5.6,7.3,5.0,8.0,7.5,3.0,0.5,4.0,5.1,6.5,4.7,3.1,1.4,1.9,5.0,5.0
268,5.3,,5.5,5.6,,,6.8,,6.0,,,,,,,,,,,,,,,,,,,,,
269,5.7,7.0,5.2,5.5,6.7,5.0,6.2,7.0,7.4,6.9,,,,,,,,,,,,,,,,,,,,
271,7.0,2.1,5.8,6.8,4.3,1.0,,,6.7,,,,,,,,,,,,,,,,,,,,,
272,7.1,7.5,5.8,5.9,3.7,2.2,5.8,7.2,6.8,2.1,6.7,6.5,3.8,6.7,5.9,5.3,6.5,8.1,6.7,4.2,6.3,3.1,4.2,5.0,6.3,5.6,6.5,5.9,5.9,5.4
277,6.3,3.7,4.5,6.2,3.6,0.5,2.3,5.0,2.4,,,,,3.6,,,,,,,,,,,,,,,,
278,5.7,4.4,7.2,6.3,4.1,,,,5.0,,,,,,,,,,,,,,,,,,,,,
279,8.6,9.0,10.0,9.8,9.0,9.5,10.0,8.7,9.9,9.1,9.1,8.7,9.5,10.0,7.3,9.0,10.0,9.5,9.5,9.0,9.5,8.6,9.1,10.0,8.7,8.6,7.7,7.9,8.7,7.3
281,9.2,8.3,9.7,9.1,9.5,9.0,10.0,10.0,9.9,8.2,8.6,9.2,9.3,,,,,,,,,,,,,,,,,
283,2.0,2.0,3.6,2.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
285,5.5,5.0,4.7,7.9,3.4,0.3,5.0,5.3,6.4,3.7,3.1,3.4,0.4,5.7,2.7,4.3,5.0,5.5,1.6,2.4,3.1,,3.4,5.0,6.2,4.4,0.6,4.5,5.0,2.3
287,8.1,9.0,8.2,9.0,6.5,7.1,7.0,9.0,8.0,7.5,7.3,6.3,8.0,9.5,9.0,7.6,8.5,8.2,8.5,9.0,7.0,6.1,7.5,8.0,8.4,7.5,7.2,8.3,7.1,7.5
288,5.7,,5.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
289,5.0,4.3,4.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2.7,,3.2,1.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
294,9.0,5.5,6.8,6.8,5.7,5.7,5.8,5.4,6.8,5.5,6.8,5.1,8.7,9.0,6.1,6.1,6.0,7.2,7.3,7.5,5.3,1.9,5.9,5.8,6.3,6.9,4.4,,5.7,3.8
296,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
300,9.7,6.4,7.5,7.6,6.1,5.0,5.3,7.0,8.7,7.7,7.2,5.9,6.0,8.5,5.8,7.1,9.0,5.8,8.2,5.1,6.0,5.8,6.0,6.0,7.1,6.9,7.5,7.0,5.9,5.5
301,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
302,9.3,8.1,7.4,7.4,7.5,2.1,7.4,,,8.1,5.0,4.7,6.0,9.1,5.3,,,,,,,,,,,,,,,
303,5.0,5.6,6.1,5.4,4.7,4.6,6.8,6.5,7.4,5.5,5.0,5.1,2.4,7.4,3.2,5.0,3.5,5.7,5.1,2.0,5.5,4.4,5.5,7.0,5.0,7.1,5.0,5.0,5.2,5.5
306,5.0,,5.1,6.2,,,,3.5,3.6,3.0,,,,,,,,,,,,,,,,,,,,
308,5.0,4.2,4.6,5.5,3.0,5.1,5.0,3.1,6.1,2.9,8.4,5.0,5.1,6.7,5.8,5.0,6.5,6.5,6.0,5.5,6.0,2.3,5.6,4.4,3.8,5.0,5.9,6.7,5.3,5.1
313,7.6,7.3,9.0,9.7,5.5,6.3,5.5,8.5,7.6,5.0,2.8,,2.7,1.8,,,,,,,,,,,,,,,,
315,5.0,1.7,1.6,5.0,5.5,5.5,5.5,,5.0,,,,,,,,,,,,,,,,,,,,,
316,5.0,3.1,5.1,4.2,3.5,0.8,,3.0,8.0,,,,,,,,,,,,,,,,,,,,,
317,7.1,5.2,7.1,9.0,6.0,6.7,6.5,7.0,8.5,5.0,6.1,7.0,4.8,8.2,7.3,6.0,5.8,8.6,7.0,6.6,4.2,2.7,5.7,5.5,5.6,6.0,3.5,5.4,5.2,5.2
318,5.7,5.6,3.0,4.4,6.0,1.1,3.9,3.5,5.3,2.8,3.8,,,7.5,,,,2.0,,3.0,,,,,,,,,,
320,7.6,1.6,3.1,6.0,2.4,5.0,0.6,2.0,6.7,5.7,5.5,6.0,2.0,6.4,5.3,5.9,5.5,7.5,6.1,5.0,5.0,2.3,5.0,5.5,5.0,5.2,5.3,5.2,6.0,5.9
322,8.4,7.2,7.0,6.8,7.0,8.0,9.0,8.6,8.3,7.4,7.4,5.0,6.4,7.3,5.3,8.5,7.5,7.0,8.3,5.4,5.6,5.5,8.5,7.3,6.1,7.2,,,6.1,6.6
323,2.7,,2.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
324,4.4,,3.7,6.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
326,6.0,4.4,5.7,6.4,4.2,3.2,5.8,5.8,5.9,3.3,5.7,5.5,1.7,6.3,5.3,5.3,5.0,7.0,6.1,1.9,4.2,3.2,3.7,5.0,5.4,5.0,1.6,5.1,5.9,4.4
327,5.6,2.7,5.4,5.2,0.5,1.4,2.5,1.5,5.0,3.6,3.3,,,4.5,,1.8,,6.0,3.2,,,,,,,,,,,
328,5.2,7.5,4.5,6.3,4.1,5.1,5.0,6.2,7.9,7.0,4.5,2.3,1.2,5.8,3.7,3.8,2.1,5.2,4.3,1.6,0.2,,2.5,7.8,6.0,1.6,2.4,2.6,5.9,6.1
329,6.7,5.0,4.6,6.0,4.1,0.8,5.5,5.5,5.9,5.2,2.3,2.0,5.0,5.7,5.6,5.3,3.0,5.8,1.2,1.7,0.4,0.1,4.3,5.8,5.7,2.6,,5.2,5.0,5.0
330,6.0,5.2,6.0,6.0,8.0,6.0,,8.0,6.0,5.5,6.0,,,9.0,,,,0.6,,,,,,,,,,,,
332,4.3,2.5,2.6,2.5,1.0,1.9,1.9,5.0,5.5,,,,,,,,,,,,,,,,,,,,,
