id_alumne,P1,DDB,IO,ALGE,CAL,MD,FIS,ALGO,P2,ED,ELEC,AA,DS,EC,ICC,EMP,PIE,PAE,PIS,SO1,IA,SO2,TNUI,VA,XAR,BD,FHIC,GiVD,LIL,SWD
402,0.0,4.0,2.6,0.6,5.9,2.4,2.0,6.2,0.0,0.0,,6.0,0.0,5.0,5.9,5.8,5.6,5.3,0.0,5.0,0.0,4.0,1.1,,,0.0,,4.0,,
403,0.0,6.4,6.1,2.1,6.2,6.2,3.3,4.8,0.0,0.0,6.5,0.0,0.0,6.9,6.0,5.6,8.3,6.4,8.5,6.1,5.0,7.0,3.7,5.6,6.6,0.0,3.6,2.6,5.0,6.8
404,6.0,,,,,,,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,
407,6.0,,4.7,3.6,6.6,3.7,4.7,6.0,6.0,6.0,,,2.4,2.8,,,,,,,,,,,6.0,6.0,,,,
410,5.5,6.4,1.0,5.8,7.7,3.2,5.6,5.0,5.9,4.0,5.8,5.5,5.3,4.1,5.4,5.8,5.9,4.0,8.5,5.0,5.0,6.5,1.3,5.9,6.5,6.2,5.2,3.7,5.4,6.8
411,6.7,4.0,4.0,5.0,7.2,5.0,2.8,5.1,5.3,4.0,6.5,7.5,5.0,6.1,6.2,5.3,8.0,4.0,8.0,6.0,6.7,6.0,7.2,7.5,2.5,7.2,6.3,4.1,5.6,6.4
412,6.0,6.8,6.5,7.3,8.9,9.2,8.3,5.8,6.9,6.1,8.8,7.0,8.2,5.4,9.1,5.8,9.1,6.3,8.0,6.2,7.8,8.5,7.9,8.0,7.7,7.6,6.0,8.0,6.8,7.6
413,6.0,,,0.0,6.3,,0.6,7.2,6.0,6.0,,,,,,,,,,,,,,,,,,,,
414,0.0,,,,,,,3.6,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
417,1.2,5.0,4.4,5.0,6.5,6.5,5.1,5.8,8.4,4.0,5.6,6.0,5.2,6.2,7.1,3.8,7.9,9.1,4.0,5.4,5.5,7.6,7.1,8.0,4.2,5.1,5.2,5.0,7.7,4.1
420,0.0,,,,,,,7.7,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
421,6.0,8.1,3.0,2.0,6.4,2.0,6.3,8.0,6.0,6.0,4.2,,,4.0,,,5.9,,,,,,,,,,,,,
422,6.0,7.5,7.8,8.0,8.9,7.0,7.2,7.7,6.0,6.0,7.5,9.0,,6.5,7.8,7.6,9.0,6.8,,7.4,5.9,8.0,7.4,7.1,,,7.0,6.0,7.4,8.1
425,7.7,7.3,5.5,1.2,4.7,6.5,6.1,3.4,4.5,5.0,7.3,5.4,5.1,6.5,6.2,7.9,6.3,9.1,8.0,6.5,5.3,6.0,7.5,8.2,6.2,6.3,5.7,1.8,5.7,6.4
426,6.0,4.0,5.7,2.4,5.8,5.0,4.5,5.7,6.0,6.0,5.2,7.5,2.7,5.9,6.8,7.6,9.2,8.3,8.5,5.0,5.0,8.0,5.2,6.8,6.0,6.0,7.0,6.5,6.9,7.1
428,0.0,5.9,4.8,5.0,5.7,3.9,5.8,5.6,0.0,0.0,5.0,7.0,0.0,5.1,2.2,6.6,6.1,8.0,,5.7,6.1,7.8,6.0,6.2,5.8,0.0,5.8,5.0,6.9,6.0
429,6.0,6.7,8.1,7.6,8.4,7.6,8.3,8.4,6.0,6.0,7.1,9.0,,7.1,8.1,7.7,9.8,9.7,8.5,5.4,6.4,8.7,8.6,6.9,,,5.6,7.0,7.8,7.4
430,0.0,6.8,3.7,5.9,8.3,5.0,7.7,6.5,0.0,0.0,5.0,6.0,0.0,6.2,5.9,5.7,5.1,8.0,0.0,5.9,5.0,7.4,5.4,5.7,7.0,0.0,5.7,5.2,7.3,5.5
433,6.2,8.4,7.4,6.3,9.2,7.0,7.5,7.2,7.6,5.9,7.0,9.0,7.0,7.4,5.0,7.9,8.5,7.0,10.0,7.0,7.5,8.4,7.8,7.7,7.0,5.8,6.0,7.5,6.4,9.5
447,4.5,4.0,5.0,3.4,9.3,3.4,6.7,6.3,5.5,5.0,,,,,,,,,,,,,,,,,,,,
448,7.0,6.0,6.6,5.2,7.8,7.1,5.4,7.3,7.6,7.5,6.7,7.5,5.1,7.5,5.3,8.6,8.5,8.0,8.5,7.0,7.4,8.3,8.6,8.2,6.4,7.6,6.3,7.2,8.0,6.6
451,5.7,5.0,5.8,2.5,6.8,2.7,5.1,5.9,6.2,5.0,4.1,5.0,3.3,3.7,5.2,6.4,7.4,8.5,8.0,6.4,3.6,5.5,0.6,5.8,2.0,6.8,5.0,5.4,5.6,7.5
452,6.0,6.7,5.2,9.2,10.0,9.4,9.2,6.4,7.9,7.1,7.9,7.0,7.3,5.9,9.2,7.1,9.0,7.7,7.0,6.4,8.5,7.6,8.0,6.4,7.4,6.6,7.3,6.3,9.8,3.1
454,0.4,,,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
456,6.0,7.6,7.0,7.4,9.2,6.0,5.7,6.5,8.7,8.4,7.9,7.0,6.5,7.5,6.9,7.9,8.5,9.0,9.0,7.4,6.5,9.3,9.1,7.3,5.9,8.0,7.0,7.0,6.9,7.8
458,9.0,9.0,9.0,9.0,9.3,9.0,7.7,9.1,9.3,7.4,9.4,9.0,9.3,7.8,9.1,8.8,9.8,8.0,10.0,8.0,8.2,9.5,8.7,8.0,7.2,7.9,6.1,8.0,8.3,9.2
461,5.7,6.5,4.6,5.0,8.2,3.7,7.0,5.6,7.2,4.0,6.1,0.0,5.8,3.5,5.0,6.4,6.5,7.5,8.0,3.8,5.0,6.0,5.5,5.7,5.9,5.4,5.5,5.3,5.2,2.7
